model_id,n_metabolites,n_reactions,n_genes,biomass_rxn,n_exchanges_total,n_exchanges_open,status,growth_flux,grows,error
GCF_000006985.1,129,125,123,bio1,22,15,optimal,36.46401184351107,True,
GCF_000007005.1,136,126,130,bio1,23,16,optimal,0.0,False,
GCF_000007025.1,112,91,74,bio1,19,12,optimal,0.0,False,
GCF_000007045.1,114,106,95,bio1,23,16,optimal,0.0,False,
GCF_000007305.1,101,95,85,bio1,21,14,optimal,0.0,False,
GCF_000007325.1,121,115,92,bio1,24,17,optimal,0.0,False,
GCF_000007345.1,121,113,152,bio1,22,15,optimal,0.0,False,
GCF_000007365.1,107,93,72,bio1,22,15,optimal,0.0,False,
GCF_000007465.2,114,105,92,bio1,21,14,optimal,29.597083799333053,True,
GCF_000007485.1,95,81,57,bio1,20,13,optimal,0.0,False,
GCF_000007505.1,159,181,180,bio1,24,17,optimal,23.177347850851508,True,
GCF_000007525.1,118,113,82,bio1,23,16,optimal,0.0,False,
GCF_000007225.1,127,122,124,bio1,22,15,optimal,0.0,False,
GCF_000007245.1,131,127,108,bio1,23,16,optimal,34.245519829870716,True,
GCF_000007265.1,127,125,106,bio1,23,16,optimal,0.0,False,
GCF_000007285.1,116,109,91,bio1,23,16,optimal,0.0,False,
GCF_000006625.1,82,72,40,bio1,21,14,optimal,0.0,False,
GCF_000006645.1,169,191,203,bio1,28,19,optimal,71.95098698766266,True,
GCF_000006685.1,112,99,49,bio1,24,17,optimal,0.0,False,
GCF_000006725.1,131,128,111,bio1,23,16,optimal,34.245519829870716,True,
GCF_000006825.1,150,161,137,bio1,31,20,optimal,71.49884240331656,True,
GCF_000006845.1,137,139,120,bio1,23,16,optimal,40.740084372714634,True,
GCF_000006865.1,133,136,114,bio1,25,18,optimal,0.0,False,
GCF_000006885.1,114,106,99,bio1,23,16,optimal,0.0,False,
GCF_000007145.1,154,169,165,bio1,26,19,optimal,44.91069732390606,True,
GCF_000007165.1,151,163,166,bio1,24,17,optimal,38.49960730400525,True,
GCF_000007185.1,105,84,80,bio1,22,15,optimal,0.0,False,
GCF_000007205.1,112,99,48,bio1,24,17,optimal,0.0,False,
GCF_000007625.1,131,126,104,bio1,26,19,optimal,0.0,False,
GCF_000007645.1,149,173,152,bio1,27,20,optimal,0.0,False,
GCF_000007665.1,141,141,106,bio1,23,16,optimal,0.0,False,
GCF_000007685.1,131,122,131,bio1,23,16,optimal,0.0,False,
GCF_000007065.1,118,106,130,bio1,21,14,optimal,0.0,False,
GCF_000007085.1,129,122,110,bio1,23,16,optimal,0.0,False,
GCF_000007105.1,130,123,94,bio1,23,16,optimal,0.0,False,
